Dependency,Dependent,Fees,Devs
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
web3,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
hardhat-tracer-zemse,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
web3,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
prettier-solidity,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
